Statistic,Year,Make and Model,UNIT,VALUE
New Private Cars Licensed for the First Time Rank,2021,Peugeot 308,Number,146
New Private Cars Licensed for the First Time Rank,2021,Peugeot 3008,Number,12
New Private Cars Licensed for the First Time Rank,2021,Peugeot 5008,Number,30
New Private Cars Licensed for the First Time Rank,2021,Peugeot 508,Number,118
New Private Cars Licensed for the First Time Rank,2021,Peugeot 208,Number,59
New Private Cars Licensed for the First Time Rank,2021,Peugeot 2008,Number,20
New Private Cars Licensed for the First Time Rank,2021,Peugeot 108,Number,185
New Private Cars Licensed for the First Time Rank,2021,Peugeot Rifter,Number,148
New Private Cars Licensed for the First Time Rank,2021,Porsche 911,Number,180
New Private Cars Licensed for the First Time Rank,2021,Porsche Cayenne,Number,142
New Private Cars Licensed for the First Time Rank,2021,Porsche Panamera,Number,180
New Private Cars Licensed for the First Time Rank,2021,Porsche Macan,Number,175
New Private Cars Licensed for the First Time Rank,2021,Renault Clio,Number,25
New Private Cars Licensed for the First Time Rank,2021,Renault Megane,Number,49
New Private Cars Licensed for the First Time Rank,2021,Renault Scenic,Number,191
New Private Cars Licensed for the First Time Rank,2021,Renault Grand Scenic,Number,109
New Private Cars Licensed for the First Time Rank,2021,Renault Koleos,Number,130
New Private Cars Licensed for the First Time Rank,2021,Renault Fluence,Number,
New Private Cars Licensed for the First Time Rank,2021,Renault Captur,Number,29
New Private Cars Licensed for the First Time Rank,2021,Renault Zoe,Number,67
New Private Cars Licensed for the First Time Rank,2021,Renault Kadjar,Number,86
New Private Cars Licensed for the First Time Rank,2021,Renault Arkana,Number,114
New Private Cars Licensed for the First Time Rank,2021,Seat Ibiza,Number,51
New Private Cars Licensed for the First Time Rank,2021,Seat Toledo,Number,
New Private Cars Licensed for the First Time Rank,2021,Seat Alhambra,Number,121
New Private Cars Licensed for the First Time Rank,2021,Seat Leon,Number,43
New Private Cars Licensed for the First Time Rank,2021,Seat Mii,Number,
New Private Cars Licensed for the First Time Rank,2021,Seat Ateca,Number,41
New Private Cars Licensed for the First Time Rank,2021,Seat Arona,Number,26
New Private Cars Licensed for the First Time Rank,2021,Seat Tarraco,Number,54
New Private Cars Licensed for the First Time Rank,2021,Skoda Octavia,Number,5
New Private Cars Licensed for the First Time Rank,2021,Skoda Fabia,Number,44
New Private Cars Licensed for the First Time Rank,2021,Skoda Superb,Number,36
New Private Cars Licensed for the First Time Rank,2021,Skoda Yeti,Number,
New Private Cars Licensed for the First Time Rank,2021,Skoda Citigo,Number,
New Private Cars Licensed for the First Time Rank,2021,Skoda Rapid,Number,204
New Private Cars Licensed for the First Time Rank,2021,Skoda Kodiaq,Number,13
New Private Cars Licensed for the First Time Rank,2021,Skoda Karoq,Number,21
New Private Cars Licensed for the First Time Rank,2021,Skoda Scala,Number,73
New Private Cars Licensed for the First Time Rank,2021,Skoda Kamiq,Number,35
New Private Cars Licensed for the First Time Rank,2021,Ssangyong Tivoli,Number,160
New Private Cars Licensed for the First Time Rank,2021,Subaru Impreza,Number,
New Private Cars Licensed for the First Time Rank,2021,Subaru Forester,Number,178
New Private Cars Licensed for the First Time Rank,2021,Subaru XV,Number,182
New Private Cars Licensed for the First Time Rank,2021,Suzuki Swift,Number,93
New Private Cars Licensed for the First Time Rank,2021,Suzuki Baleno,Number,
New Private Cars Licensed for the First Time Rank,2021,Suzuki Ignis,Number,104
New Private Cars Licensed for the First Time Rank,2021,Suzuki Vitara,Number,55
New Private Cars Licensed for the First Time Rank,2021,Suzuki SX4,Number,134
New Private Cars Licensed for the First Time Rank,2021,Suzuki Celerio,Number,
New Private Cars Licensed for the First Time Rank,2021,Tesla Model 3,Number,37
New Private Cars Licensed for the First Time Rank,2021,Tesla Model S,Number,204
New Private Cars Licensed for the First Time Rank,2021,Tesla Model X,Number,208
New Private Cars Licensed for the First Time Rank,2021,Toyota Camry,Number,98
New Private Cars Licensed for the First Time Rank,2021,Toyota Rav4,Number,7
New Private Cars Licensed for the First Time Rank,2021,Toyota Avensis,Number,
New Private Cars Licensed for the First Time Rank,2021,Toyota Yaris,Number,3
New Private Cars Licensed for the First Time Rank,2021,Toyota Prius,Number,159
New Private Cars Licensed for the First Time Rank,2021,Toyota Aygo,Number,97
New Private Cars Licensed for the First Time Rank,2021,Toyota Corolla,Number,2
New Private Cars Licensed for the First Time Rank,2021,Toyota Auris,Number,208
New Private Cars Licensed for the First Time Rank,2021,Toyota Verso,Number,
New Private Cars Licensed for the First Time Rank,2021,Toyota C-HR,Number,6
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Passat,Number,40
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Golf,Number,8
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Polo,Number,15
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Jetta,Number,
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Sharan,Number,
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Beetle,Number,
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Touran,Number,149
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Tiguan,Number,4
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Up,Number,208
New Private Cars Licensed for the First Time Rank,2021,Volkswagen Arteon,Number,108
New Private Cars Licensed for the First Time Rank,2021,Volkswagen T-Roc,Number,19
New Private Cars Licensed for the First Time Rank,2021,Volkswagen T-Cross,Number,52
New Private Cars Licensed for the First Time Rank,2021,Volkswagen ID.3,Number,22
New Private Cars Licensed for the First Time Rank,2021,Volkswagen ID.4,Number,18
New Private Cars Licensed for the First Time Rank,2021,Volvo S60,Number,172
New Private Cars Licensed for the First Time Rank,2021,Volvo XC90,Number,80
New Private Cars Licensed for the First Time Rank,2021,Volvo V40,Number,
New Private Cars Licensed for the First Time Rank,2021,Volvo XC60,Number,74
New Private Cars Licensed for the First Time Rank,2021,Volvo V60,Number,138
New Private Cars Licensed for the First Time Rank,2021,Volvo S90,Number,150
New Private Cars Licensed for the First Time Rank,2021,Volvo V90,Number,182
New Private Cars Licensed for the First Time Rank,2021,Volvo XC40,Number,63
New Private Cars Licensed for the First Time Rank,2021,Other,Number,
New Private Cars Licensed for the First Time Rank,2021,All models,Number,
