Statistic,Month,Taxation Class,UNIT,VALUE
Vehicles Licensed for the First Time,1996M07,Secondhand Private Cars,Number,3716
Vehicles Licensed for the First Time,1996M08,Secondhand Private Cars,Number,3433
Vehicles Licensed for the First Time,1996M09,Secondhand Private Cars,Number,3608
Vehicles Licensed for the First Time,1996M10,Secondhand Private Cars,Number,4013
Vehicles Licensed for the First Time,1996M11,Secondhand Private Cars,Number,3943
Vehicles Licensed for the First Time,1996M12,Secondhand Private Cars,Number,3022
Vehicles Licensed for the First Time,1997M01,Secondhand Private Cars,Number,3373
Vehicles Licensed for the First Time,1997M02,Secondhand Private Cars,Number,3504
Vehicles Licensed for the First Time,1997M03,Secondhand Private Cars,Number,3544
Vehicles Licensed for the First Time,1997M04,Secondhand Private Cars,Number,3969
Vehicles Licensed for the First Time,1997M05,Secondhand Private Cars,Number,3739
Vehicles Licensed for the First Time,1997M06,Secondhand Private Cars,Number,3132
Vehicles Licensed for the First Time,1997M07,Secondhand Private Cars,Number,3635
Vehicles Licensed for the First Time,1997M08,Secondhand Private Cars,Number,3289
Vehicles Licensed for the First Time,1997M09,Secondhand Private Cars,Number,3454
Vehicles Licensed for the First Time,1997M10,Secondhand Private Cars,Number,3538
Vehicles Licensed for the First Time,1997M11,Secondhand Private Cars,Number,3380
Vehicles Licensed for the First Time,1997M12,Secondhand Private Cars,Number,3008
Vehicles Licensed for the First Time,1998M01,Secondhand Private Cars,Number,2969
Vehicles Licensed for the First Time,1998M02,Secondhand Private Cars,Number,3244
Vehicles Licensed for the First Time,1998M03,Secondhand Private Cars,Number,3219
Vehicles Licensed for the First Time,1998M04,Secondhand Private Cars,Number,3227
Vehicles Licensed for the First Time,1998M05,Secondhand Private Cars,Number,3179
Vehicles Licensed for the First Time,1998M06,Secondhand Private Cars,Number,3268
Vehicles Licensed for the First Time,1998M07,Secondhand Private Cars,Number,3107
Vehicles Licensed for the First Time,1998M08,Secondhand Private Cars,Number,3371
Vehicles Licensed for the First Time,1998M09,Secondhand Private Cars,Number,3233
Vehicles Licensed for the First Time,1998M10,Secondhand Private Cars,Number,3559
Vehicles Licensed for the First Time,1998M11,Secondhand Private Cars,Number,3703
Vehicles Licensed for the First Time,1998M12,Secondhand Private Cars,Number,3486
Vehicles Licensed for the First Time,1999M01,Secondhand Private Cars,Number,2680
Vehicles Licensed for the First Time,1999M02,Secondhand Private Cars,Number,3170
Vehicles Licensed for the First Time,1999M03,Secondhand Private Cars,Number,3487
Vehicles Licensed for the First Time,1999M04,Secondhand Private Cars,Number,3297
Vehicles Licensed for the First Time,1999M05,Secondhand Private Cars,Number,3066
Vehicles Licensed for the First Time,1999M06,Secondhand Private Cars,Number,3083
Vehicles Licensed for the First Time,1999M07,Secondhand Private Cars,Number,3441
Vehicles Licensed for the First Time,1999M08,Secondhand Private Cars,Number,3129
