Statistic,Month,Taxation Class,UNIT,VALUE
Vehicles Licensed for the First Time,1999M09,Secondhand Private Cars,Number,3095
Vehicles Licensed for the First Time,1999M10,Secondhand Private Cars,Number,2844
Vehicles Licensed for the First Time,1999M11,Secondhand Private Cars,Number,3006
Vehicles Licensed for the First Time,1999M12,Secondhand Private Cars,Number,2581
Vehicles Licensed for the First Time,2000M01,Secondhand Private Cars,Number,2013
Vehicles Licensed for the First Time,2000M02,Secondhand Private Cars,Number,2396
Vehicles Licensed for the First Time,2000M03,Secondhand Private Cars,Number,2545
Vehicles Licensed for the First Time,2000M04,Secondhand Private Cars,Number,2024
Vehicles Licensed for the First Time,2000M05,Secondhand Private Cars,Number,2124
Vehicles Licensed for the First Time,2000M06,Secondhand Private Cars,Number,2197
Vehicles Licensed for the First Time,2000M07,Secondhand Private Cars,Number,1973
Vehicles Licensed for the First Time,2000M08,Secondhand Private Cars,Number,1967
Vehicles Licensed for the First Time,2000M09,Secondhand Private Cars,Number,1779
Vehicles Licensed for the First Time,2000M10,Secondhand Private Cars,Number,1739
Vehicles Licensed for the First Time,2000M11,Secondhand Private Cars,Number,1782
Vehicles Licensed for the First Time,2000M12,Secondhand Private Cars,Number,1464
Vehicles Licensed for the First Time,2001M01,Secondhand Private Cars,Number,1358
Vehicles Licensed for the First Time,2001M02,Secondhand Private Cars,Number,1528
Vehicles Licensed for the First Time,2001M03,Secondhand Private Cars,Number,1529
Vehicles Licensed for the First Time,2001M04,Secondhand Private Cars,Number,1351
Vehicles Licensed for the First Time,2001M05,Secondhand Private Cars,Number,1442
Vehicles Licensed for the First Time,2001M06,Secondhand Private Cars,Number,1288
Vehicles Licensed for the First Time,2001M07,Secondhand Private Cars,Number,1341
Vehicles Licensed for the First Time,2001M08,Secondhand Private Cars,Number,1294
Vehicles Licensed for the First Time,2001M09,Secondhand Private Cars,Number,1038
Vehicles Licensed for the First Time,2001M10,Secondhand Private Cars,Number,1285
Vehicles Licensed for the First Time,2001M11,Secondhand Private Cars,Number,860
Vehicles Licensed for the First Time,2001M12,Secondhand Private Cars,Number,923
Vehicles Licensed for the First Time,2002M01,Secondhand Private Cars,Number,1192
Vehicles Licensed for the First Time,2002M02,Secondhand Private Cars,Number,1083
Vehicles Licensed for the First Time,2002M03,Secondhand Private Cars,Number,1051
Vehicles Licensed for the First Time,2002M04,Secondhand Private Cars,Number,1112
Vehicles Licensed for the First Time,2002M05,Secondhand Private Cars,Number,1200
Vehicles Licensed for the First Time,2002M06,Secondhand Private Cars,Number,978
Vehicles Licensed for the First Time,2002M07,Secondhand Private Cars,Number,1207
Vehicles Licensed for the First Time,2002M08,Secondhand Private Cars,Number,1011
Vehicles Licensed for the First Time,2002M09,Secondhand Private Cars,Number,1055
Vehicles Licensed for the First Time,2002M10,Secondhand Private Cars,Number,1153
Vehicles Licensed for the First Time,2002M11,Secondhand Private Cars,Number,1184
Vehicles Licensed for the First Time,2002M12,Secondhand Private Cars,Number,1126
Vehicles Licensed for the First Time,2003M01,Secondhand Private Cars,Number,969
Vehicles Licensed for the First Time,2003M02,Secondhand Private Cars,Number,928
Vehicles Licensed for the First Time,2003M03,Secondhand Private Cars,Number,1012
Vehicles Licensed for the First Time,2003M04,Secondhand Private Cars,Number,1032
Vehicles Licensed for the First Time,2003M05,Secondhand Private Cars,Number,1131
Vehicles Licensed for the First Time,2003M06,Secondhand Private Cars,Number,1092
Vehicles Licensed for the First Time,2003M07,Secondhand Private Cars,Number,1202
Vehicles Licensed for the First Time,2003M08,Secondhand Private Cars,Number,1082
Vehicles Licensed for the First Time,2003M09,Secondhand Private Cars,Number,1238
Vehicles Licensed for the First Time,2003M10,Secondhand Private Cars,Number,1351
Vehicles Licensed for the First Time,2003M11,Secondhand Private Cars,Number,1214
Vehicles Licensed for the First Time,2003M12,Secondhand Private Cars,Number,1221
Vehicles Licensed for the First Time,2004M01,Secondhand Private Cars,Number,1133
Vehicles Licensed for the First Time,2004M02,Secondhand Private Cars,Number,1325
Vehicles Licensed for the First Time,2004M03,Secondhand Private Cars,Number,1477
Vehicles Licensed for the First Time,2004M04,Secondhand Private Cars,Number,1511
Vehicles Licensed for the First Time,2004M05,Secondhand Private Cars,Number,1637
Vehicles Licensed for the First Time,2004M06,Secondhand Private Cars,Number,1834
Vehicles Licensed for the First Time,2004M07,Secondhand Private Cars,Number,1815
Vehicles Licensed for the First Time,2004M08,Secondhand Private Cars,Number,1797
Vehicles Licensed for the First Time,2004M09,Secondhand Private Cars,Number,2041
Vehicles Licensed for the First Time,2004M10,Secondhand Private Cars,Number,2204
Vehicles Licensed for the First Time,2004M11,Secondhand Private Cars,Number,2425
Vehicles Licensed for the First Time,2004M12,Secondhand Private Cars,Number,2205
Vehicles Licensed for the First Time,2005M01,Secondhand Private Cars,Number,1924
Vehicles Licensed for the First Time,2005M02,Secondhand Private Cars,Number,2702
Vehicles Licensed for the First Time,2005M03,Secondhand Private Cars,Number,2860
Vehicles Licensed for the First Time,2005M04,Secondhand Private Cars,Number,3395
Vehicles Licensed for the First Time,2005M05,Secondhand Private Cars,Number,3206
Vehicles Licensed for the First Time,2005M06,Secondhand Private Cars,Number,3331
Vehicles Licensed for the First Time,2005M07,Secondhand Private Cars,Number,3415
Vehicles Licensed for the First Time,2005M08,Secondhand Private Cars,Number,3481
Vehicles Licensed for the First Time,2005M09,Secondhand Private Cars,Number,3507
Vehicles Licensed for the First Time,2005M10,Secondhand Private Cars,Number,3429
Vehicles Licensed for the First Time,2005M11,Secondhand Private Cars,Number,3780
Vehicles Licensed for the First Time,2005M12,Secondhand Private Cars,Number,3219
Vehicles Licensed for the First Time,2006M01,Secondhand Private Cars,Number,3462
Vehicles Licensed for the First Time,2006M02,Secondhand Private Cars,Number,4264
Vehicles Licensed for the First Time,2006M03,Secondhand Private Cars,Number,4667
Vehicles Licensed for the First Time,2006M04,Secondhand Private Cars,Number,4620
Vehicles Licensed for the First Time,2006M05,Secondhand Private Cars,Number,4842
Vehicles Licensed for the First Time,2006M06,Secondhand Private Cars,Number,4990
Vehicles Licensed for the First Time,2006M07,Secondhand Private Cars,Number,4505
Vehicles Licensed for the First Time,2006M08,Secondhand Private Cars,Number,5074
Vehicles Licensed for the First Time,2006M09,Secondhand Private Cars,Number,4652
Vehicles Licensed for the First Time,2006M10,Secondhand Private Cars,Number,4664
Vehicles Licensed for the First Time,2006M11,Secondhand Private Cars,Number,4967
Vehicles Licensed for the First Time,2006M12,Secondhand Private Cars,Number,3595
Vehicles Licensed for the First Time,2007M01,Secondhand Private Cars,Number,4441
Vehicles Licensed for the First Time,2007M02,Secondhand Private Cars,Number,4735
Vehicles Licensed for the First Time,2007M03,Secondhand Private Cars,Number,5160
Vehicles Licensed for the First Time,2007M04,Secondhand Private Cars,Number,5207
Vehicles Licensed for the First Time,2007M05,Secondhand Private Cars,Number,5590
Vehicles Licensed for the First Time,2007M06,Secondhand Private Cars,Number,5168
Vehicles Licensed for the First Time,2007M07,Secondhand Private Cars,Number,5226
Vehicles Licensed for the First Time,2007M08,Secondhand Private Cars,Number,5036
Vehicles Licensed for the First Time,2007M09,Secondhand Private Cars,Number,4697
Vehicles Licensed for the First Time,2007M10,Secondhand Private Cars,Number,5080
Vehicles Licensed for the First Time,2007M11,Secondhand Private Cars,Number,4960
Vehicles Licensed for the First Time,2007M12,Secondhand Private Cars,Number,3419
Vehicles Licensed for the First Time,2008M01,Secondhand Private Cars,Number,4490
Vehicles Licensed for the First Time,2008M02,Secondhand Private Cars,Number,5049
Vehicles Licensed for the First Time,2008M03,Secondhand Private Cars,Number,4678
Vehicles Licensed for the First Time,2008M04,Secondhand Private Cars,Number,5477
Vehicles Licensed for the First Time,2008M05,Secondhand Private Cars,Number,5122
Vehicles Licensed for the First Time,2008M06,Secondhand Private Cars,Number,5497
Vehicles Licensed for the First Time,2008M07,Secondhand Private Cars,Number,7108
Vehicles Licensed for the First Time,2008M08,Secondhand Private Cars,Number,4992
Vehicles Licensed for the First Time,2008M09,Secondhand Private Cars,Number,5162
Vehicles Licensed for the First Time,2008M10,Secondhand Private Cars,Number,4866
Vehicles Licensed for the First Time,2008M11,Secondhand Private Cars,Number,4175
Vehicles Licensed for the First Time,2008M12,Secondhand Private Cars,Number,3475
Vehicles Licensed for the First Time,2009M01,Secondhand Private Cars,Number,4471
Vehicles Licensed for the First Time,2009M02,Secondhand Private Cars,Number,5530
Vehicles Licensed for the First Time,2009M03,Secondhand Private Cars,Number,5453
Vehicles Licensed for the First Time,2009M04,Secondhand Private Cars,Number,6032
Vehicles Licensed for the First Time,2009M05,Secondhand Private Cars,Number,4977
Vehicles Licensed for the First Time,2009M06,Secondhand Private Cars,Number,3992
Vehicles Licensed for the First Time,2009M07,Secondhand Private Cars,Number,3762
Vehicles Licensed for the First Time,2009M08,Secondhand Private Cars,Number,3215
Vehicles Licensed for the First Time,2009M09,Secondhand Private Cars,Number,3338
Vehicles Licensed for the First Time,2009M10,Secondhand Private Cars,Number,3276
Vehicles Licensed for the First Time,2009M11,Secondhand Private Cars,Number,3013
Vehicles Licensed for the First Time,2009M12,Secondhand Private Cars,Number,2405
Vehicles Licensed for the First Time,2010M01,Secondhand Private Cars,Number,2462
Vehicles Licensed for the First Time,2010M02,Secondhand Private Cars,Number,3827
Vehicles Licensed for the First Time,2010M03,Secondhand Private Cars,Number,4109
Vehicles Licensed for the First Time,2010M04,Secondhand Private Cars,Number,4032
Vehicles Licensed for the First Time,2010M05,Secondhand Private Cars,Number,3683
Vehicles Licensed for the First Time,2010M06,Secondhand Private Cars,Number,3599
Vehicles Licensed for the First Time,2010M07,Secondhand Private Cars,Number,3382
Vehicles Licensed for the First Time,2010M08,Secondhand Private Cars,Number,3286
Vehicles Licensed for the First Time,2010M09,Secondhand Private Cars,Number,2946
Vehicles Licensed for the First Time,2010M10,Secondhand Private Cars,Number,2744
Vehicles Licensed for the First Time,2010M11,Secondhand Private Cars,Number,3085
Vehicles Licensed for the First Time,2010M12,Secondhand Private Cars,Number,1948
Vehicles Licensed for the First Time,2011M01,Secondhand Private Cars,Number,2565
Vehicles Licensed for the First Time,2011M02,Secondhand Private Cars,Number,3312
Vehicles Licensed for the First Time,2011M03,Secondhand Private Cars,Number,3503
Vehicles Licensed for the First Time,2011M04,Secondhand Private Cars,Number,3677
Vehicles Licensed for the First Time,2011M05,Secondhand Private Cars,Number,3415
Vehicles Licensed for the First Time,2011M06,Secondhand Private Cars,Number,3563
Vehicles Licensed for the First Time,2011M07,Secondhand Private Cars,Number,3594
Vehicles Licensed for the First Time,2011M08,Secondhand Private Cars,Number,3729
Vehicles Licensed for the First Time,2011M09,Secondhand Private Cars,Number,3663
Vehicles Licensed for the First Time,2011M10,Secondhand Private Cars,Number,3492
Vehicles Licensed for the First Time,2011M11,Secondhand Private Cars,Number,3525
Vehicles Licensed for the First Time,2011M12,Secondhand Private Cars,Number,3111
Vehicles Licensed for the First Time,2012M01,Secondhand Private Cars,Number,2624
Vehicles Licensed for the First Time,2012M02,Secondhand Private Cars,Number,3312
Vehicles Licensed for the First Time,2012M03,Secondhand Private Cars,Number,3642
Vehicles Licensed for the First Time,2012M04,Secondhand Private Cars,Number,3193
Vehicles Licensed for the First Time,2012M05,Secondhand Private Cars,Number,3394
Vehicles Licensed for the First Time,2012M06,Secondhand Private Cars,Number,3059
Vehicles Licensed for the First Time,2012M07,Secondhand Private Cars,Number,3143
Vehicles Licensed for the First Time,2012M08,Secondhand Private Cars,Number,2985
Vehicles Licensed for the First Time,2012M09,Secondhand Private Cars,Number,2967
Vehicles Licensed for the First Time,2012M10,Secondhand Private Cars,Number,3284
Vehicles Licensed for the First Time,2012M11,Secondhand Private Cars,Number,3466
Vehicles Licensed for the First Time,2012M12,Secondhand Private Cars,Number,3400
Vehicles Licensed for the First Time,2013M01,Secondhand Private Cars,Number,2681
Vehicles Licensed for the First Time,2013M02,Secondhand Private Cars,Number,3717
Vehicles Licensed for the First Time,2013M03,Secondhand Private Cars,Number,4113
Vehicles Licensed for the First Time,2013M04,Secondhand Private Cars,Number,4398
Vehicles Licensed for the First Time,2013M05,Secondhand Private Cars,Number,4601
Vehicles Licensed for the First Time,2013M06,Secondhand Private Cars,Number,4183
Vehicles Licensed for the First Time,2013M07,Secondhand Private Cars,Number,4587
Vehicles Licensed for the First Time,2013M08,Secondhand Private Cars,Number,4422
Vehicles Licensed for the First Time,2013M09,Secondhand Private Cars,Number,4735
Vehicles Licensed for the First Time,2013M10,Secondhand Private Cars,Number,4658
Vehicles Licensed for the First Time,2013M11,Secondhand Private Cars,Number,4486
Vehicles Licensed for the First Time,2013M12,Secondhand Private Cars,Number,3181
Vehicles Licensed for the First Time,2014M01,Secondhand Private Cars,Number,3966
Vehicles Licensed for the First Time,2014M02,Secondhand Private Cars,Number,4537
Vehicles Licensed for the First Time,2014M03,Secondhand Private Cars,Number,4868
Vehicles Licensed for the First Time,2014M04,Secondhand Private Cars,Number,4783
Vehicles Licensed for the First Time,2014M05,Secondhand Private Cars,Number,4945
Vehicles Licensed for the First Time,2014M06,Secondhand Private Cars,Number,4502
Vehicles Licensed for the First Time,2014M07,Secondhand Private Cars,Number,4879
Vehicles Licensed for the First Time,2014M08,Secondhand Private Cars,Number,4278
Vehicles Licensed for the First Time,2014M09,Secondhand Private Cars,Number,4376
Vehicles Licensed for the First Time,2014M10,Secondhand Private Cars,Number,4328
Vehicles Licensed for the First Time,2014M11,Secondhand Private Cars,Number,4177
Vehicles Licensed for the First Time,2014M12,Secondhand Private Cars,Number,3224
Vehicles Licensed for the First Time,2015M01,Secondhand Private Cars,Number,4001
Vehicles Licensed for the First Time,2015M02,Secondhand Private Cars,Number,4626
Vehicles Licensed for the First Time,2015M03,Secondhand Private Cars,Number,4492
Vehicles Licensed for the First Time,2015M04,Secondhand Private Cars,Number,3996
Vehicles Licensed for the First Time,2015M05,Secondhand Private Cars,Number,3748
Vehicles Licensed for the First Time,2015M06,Secondhand Private Cars,Number,3765
Vehicles Licensed for the First Time,2015M07,Secondhand Private Cars,Number,4075
Vehicles Licensed for the First Time,2015M08,Secondhand Private Cars,Number,3666
Vehicles Licensed for the First Time,2015M09,Secondhand Private Cars,Number,3743
Vehicles Licensed for the First Time,2015M10,Secondhand Private Cars,Number,4035
Vehicles Licensed for the First Time,2015M11,Secondhand Private Cars,Number,3906
Vehicles Licensed for the First Time,2015M12,Secondhand Private Cars,Number,3164
Vehicles Licensed for the First Time,2016M01,Secondhand Private Cars,Number,3848
Vehicles Licensed for the First Time,2016M02,Secondhand Private Cars,Number,5077
Vehicles Licensed for the First Time,2016M03,Secondhand Private Cars,Number,5276
Vehicles Licensed for the First Time,2016M04,Secondhand Private Cars,Number,5626
Vehicles Licensed for the First Time,2016M05,Secondhand Private Cars,Number,5488
Vehicles Licensed for the First Time,2016M06,Secondhand Private Cars,Number,5459
Vehicles Licensed for the First Time,2016M07,Secondhand Private Cars,Number,5637
Vehicles Licensed for the First Time,2016M08,Secondhand Private Cars,Number,6135
Vehicles Licensed for the First Time,2016M09,Secondhand Private Cars,Number,6623
Vehicles Licensed for the First Time,2016M10,Secondhand Private Cars,Number,6978
Vehicles Licensed for the First Time,2016M11,Secondhand Private Cars,Number,7621
Vehicles Licensed for the First Time,2016M12,Secondhand Private Cars,Number,6370
Vehicles Licensed for the First Time,2017M01,Secondhand Private Cars,Number,6798
Vehicles Licensed for the First Time,2017M02,Secondhand Private Cars,Number,7723
Vehicles Licensed for the First Time,2017M03,Secondhand Private Cars,Number,8335
Vehicles Licensed for the First Time,2017M04,Secondhand Private Cars,Number,7272
Vehicles Licensed for the First Time,2017M05,Secondhand Private Cars,Number,7732
Vehicles Licensed for the First Time,2017M06,Secondhand Private Cars,Number,7085
Vehicles Licensed for the First Time,2017M07,Secondhand Private Cars,Number,7598
Vehicles Licensed for the First Time,2017M08,Secondhand Private Cars,Number,8220
Vehicles Licensed for the First Time,2017M09,Secondhand Private Cars,Number,8327
Vehicles Licensed for the First Time,2017M10,Secondhand Private Cars,Number,8644
Vehicles Licensed for the First Time,2017M11,Secondhand Private Cars,Number,8415
Vehicles Licensed for the First Time,2017M12,Secondhand Private Cars,Number,6359
Vehicles Licensed for the First Time,2018M01,Secondhand Private Cars,Number,8025
Vehicles Licensed for the First Time,2018M02,Secondhand Private Cars,Number,8603
Vehicles Licensed for the First Time,2018M03,Secondhand Private Cars,Number,8078
Vehicles Licensed for the First Time,2018M04,Secondhand Private Cars,Number,8671
Vehicles Licensed for the First Time,2018M05,Secondhand Private Cars,Number,8822
Vehicles Licensed for the First Time,2018M06,Secondhand Private Cars,Number,8073
Vehicles Licensed for the First Time,2018M07,Secondhand Private Cars,Number,8202
Vehicles Licensed for the First Time,2018M08,Secondhand Private Cars,Number,8586
Vehicles Licensed for the First Time,2018M09,Secondhand Private Cars,Number,8375
Vehicles Licensed for the First Time,2018M10,Secondhand Private Cars,Number,9067
Vehicles Licensed for the First Time,2018M11,Secondhand Private Cars,Number,8493
Vehicles Licensed for the First Time,2018M12,Secondhand Private Cars,Number,6461
Vehicles Licensed for the First Time,2019M01,Secondhand Private Cars,Number,8131
Vehicles Licensed for the First Time,2019M02,Secondhand Private Cars,Number,8674
Vehicles Licensed for the First Time,2019M03,Secondhand Private Cars,Number,9101
Vehicles Licensed for the First Time,2019M04,Secondhand Private Cars,Number,8728
Vehicles Licensed for the First Time,2019M05,Secondhand Private Cars,Number,9062
Vehicles Licensed for the First Time,2019M06,Secondhand Private Cars,Number,7998
Vehicles Licensed for the First Time,2019M07,Secondhand Private Cars,Number,9203
Vehicles Licensed for the First Time,2019M08,Secondhand Private Cars,Number,9320
Vehicles Licensed for the First Time,2019M09,Secondhand Private Cars,Number,9868
Vehicles Licensed for the First Time,2019M10,Secondhand Private Cars,Number,10941
Vehicles Licensed for the First Time,2019M11,Secondhand Private Cars,Number,9874
Vehicles Licensed for the First Time,2019M12,Secondhand Private Cars,Number,7995
Vehicles Licensed for the First Time,2020M01,Secondhand Private Cars,Number,7683
Vehicles Licensed for the First Time,2020M02,Secondhand Private Cars,Number,7087
Vehicles Licensed for the First Time,2020M03,Secondhand Private Cars,Number,5582
Vehicles Licensed for the First Time,2020M04,Secondhand Private Cars,Number,1321
Vehicles Licensed for the First Time,2020M05,Secondhand Private Cars,Number,1170
Vehicles Licensed for the First Time,2020M06,Secondhand Private Cars,Number,3738
Vehicles Licensed for the First Time,2020M07,Secondhand Private Cars,Number,8275
Vehicles Licensed for the First Time,2020M08,Secondhand Private Cars,Number,8032
Vehicles Licensed for the First Time,2020M09,Secondhand Private Cars,Number,9300
Vehicles Licensed for the First Time,2020M10,Secondhand Private Cars,Number,9543
Vehicles Licensed for the First Time,2020M11,Secondhand Private Cars,Number,7892
Vehicles Licensed for the First Time,2020M12,Secondhand Private Cars,Number,8918
Vehicles Licensed for the First Time,2021M01,Secondhand Private Cars,Number,8126
Vehicles Licensed for the First Time,2021M02,Secondhand Private Cars,Number,6679
Vehicles Licensed for the First Time,2021M03,Secondhand Private Cars,Number,6590
Vehicles Licensed for the First Time,2021M04,Secondhand Private Cars,Number,6241
Vehicles Licensed for the First Time,2021M05,Secondhand Private Cars,Number,6426
Vehicles Licensed for the First Time,2021M06,Secondhand Private Cars,Number,5900
Vehicles Licensed for the First Time,2021M07,Secondhand Private Cars,Number,5590
Vehicles Licensed for the First Time,2021M08,Secondhand Private Cars,Number,5219
Vehicles Licensed for the First Time,2021M09,Secondhand Private Cars,Number,5056
Vehicles Licensed for the First Time,2021M10,Secondhand Private Cars,Number,4506
Vehicles Licensed for the First Time,2021M11,Secondhand Private Cars,Number,4324
Vehicles Licensed for the First Time,2021M12,Secondhand Private Cars,Number,3385
Vehicles Licensed for the First Time,2022M01,Secondhand Private Cars,Number,3686
